name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
Phillips Graduate University,NULL,NULL,NULL,NULL
California Institute of Integral Studies,NULL,NULL,NULL,NULL
Cabrillo College,1268,7028,NULL,NULL
California Baptist University,32256,32256,0.770787855,1092
California College of the Arts,47266,47266,0.636907731,NULL
University of California-Hastings College of Law,NULL,NULL,NULL,NULL
California Institute of Technology,49908,49908,0.07739474,1558
California Lutheran University,41363,41363,0.72748048,1158
California Polytechnic State University-San Luis Obispo,9432,21312,0.346114267,1317
Alliant International University-San Diego,14310,14310,0.8,NULL
California State University-Bakersfield,7147,19027,0.611236208,NULL
California State University-Stanislaus,7038,18918,0.770603544,NULL
California State University-San Bernardino,6885,18765,0.571337213,991
California State Polytechnic University-Pomona,7339,19219,0.55068603,1129
California State University-Chico,7348,19228,0.677794465,1088
California State University-Dominguez Hills,6837,18717,0.536842105,NULL
California State University-Fresno,6585,18465,0.594084821,1004
California State University-Fullerton,6850,18730,0.457190884,1096
California State University-East Bay,6834,18714,0.740508708,NULL
California State University-Long Beach,6730,18610,0.279945438,1130
California State University-Los Angeles,6639,18519,0.46446144,968
California State University-Northridge,6875,18755,0.57652909,1014
California State University-Sacramento,7204,19084,0.677606498,1036
University of California-Berkeley,14170,42184,0.171076149,1414
University of California-Davis,14419,42433,0.433560717,1286
University of California-Irvine,13738,41752,0.365051944,1291
University of California-Los Angeles,13261,41275,0.160978234,1387
University of California-Riverside,13917,41931,0.57234101,1215
University of California-San Diego,14018,42032,0.339879701,1343
University of California-San Francisco,NULL,NULL,NULL,NULL
University of California-Santa Barbara,14451,42465,0.328094447,1346
University of California-Santa Cruz,14020,42034,0.509430044,1287
Sofia University,NULL,NULL,NULL,NULL
California Beauty School,NULL,NULL,NULL,NULL
California Christian College,9330,9330,1,NULL
California Hair Design Academy,NULL,NULL,NULL,NULL
California Institute of the Arts,47446,47446,0.240618102,NULL
California State University Maritime Academy,7056,18936,0.66349481,NULL
California Western School of Law,NULL,NULL,NULL,NULL
Canada College,1360,7968,NULL,NULL
College of the Canyons,1154,6458,NULL,NULL
Career Academy of Beauty,NULL,NULL,NULL,NULL
Casa Loma College-Van Nuys,NULL,NULL,0.844827586,NULL
CET-San Diego,NULL,NULL,NULL,NULL
CET-San Jose,NULL,NULL,NULL,NULL
CET-El Centro,NULL,NULL,NULL,NULL
CET-Colton,NULL,NULL,NULL,NULL
CET-Watsonville,NULL,NULL,NULL,NULL
CET-Salinas,NULL,NULL,NULL,NULL
Cerritos College,1346,8710,NULL,NULL
Cerro Coso Community College,1290,7226,NULL,NULL
Chabot College,1138,7018,NULL,NULL
Chaffey College,1170,7050,NULL,NULL
Chapman University,50594,50594,0.572437358,1293
Charles R Drew University of Medicine and Science,13972,13972,0.901639344,1142
Concordia University-Irvine,34100,34100,0.58445471,1121
San Diego Christian College,30438,30438,0.623471883,945
Church Divinity School of the Pacific,NULL,NULL,NULL,NULL
Citrus College,1183,5959,NULL,NULL
Citrus Heights Beauty College,NULL,NULL,NULL,NULL
City College of San Francisco,1598,9010,NULL,NULL
Claremont Graduate University,NULL,NULL,NULL,NULL
Claremont McKenna College,52825,52825,0.103638368,1452
Milan Institute-Visalia,NULL,NULL,NULL,NULL
