name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
University of the District of Columbia-David A Clarke School of Law,NULL,NULL,NULL,NULL
Raphael's School of Beauty Culture Inc-Brunswick,NULL,NULL,NULL,NULL
Caribbean University-Ponce,5264,5264,NULL,NULL
Caribbean University-Vega Baja,5264,5264,NULL,NULL
University of Advancing Technology,20928,20928,0.847398844,NULL
Paradise Valley Community College,2094,7878,NULL,NULL
Chandler-Gilbert Community College,2094,7878,NULL,NULL
HSHS St. John's Hospital School of Clinical Laboratory Science,NULL,NULL,NULL,NULL
Madison Media Institute,14708,14708,NULL,NULL
Great Plains Technology Center,NULL,NULL,NULL,NULL
Roane-Jackson Technical Center,NULL,NULL,NULL,NULL
Pioneer Technology Center,NULL,NULL,NULL,NULL
Portage Lakes Career Center,NULL,NULL,NULL,NULL
Eastern College of Health Vocations-New Orleans,NULL,NULL,NULL,NULL
Bell Mar Beauty College,NULL,NULL,NULL,NULL
Caddo Kiowa Technology Center,NULL,NULL,NULL,NULL
Brightwood College-San Antonio-San Pedro,NULL,NULL,NULL,NULL
Center for Instruction Technology & Innovation (CiTi),NULL,NULL,0.861111111,NULL
International School of Skin Nailcare & Massage Therapy,NULL,NULL,NULL,NULL
Palomar Institute of Cosmetology,NULL,NULL,NULL,NULL
Southern Oklahoma Technology Center,NULL,NULL,NULL,NULL
Vista College,14450,14450,NULL,NULL
Autry Technology Center,NULL,NULL,0.741116751,NULL
Greene County Vocational School District,NULL,NULL,NULL,NULL
Canadian Valley Technology Center,NULL,NULL,NULL,NULL
Wilkes-Barre Area Career and Technical Center Practical Nursing,NULL,NULL,NULL,NULL
Mayo Clinic Graduate School of Biomedical Sciences,NULL,NULL,NULL,NULL
Meridian Technology Center,NULL,NULL,NULL,NULL
Waynesville Career Center,NULL,NULL,NULL,NULL
Capitol School of Hairstyling and Esthetics,NULL,NULL,NULL,NULL
Morris County Vocational School District,NULL,NULL,0.825,NULL
Ross Medical Education Center-Roosevelt Park,NULL,NULL,NULL,NULL
Ross Medical Education Center-Kentwood,NULL,NULL,NULL,NULL
South Florida Bible College and Theological Seminary,6660,6660,NULL,NULL
Cloyd's Barber School 2 Inc,NULL,NULL,NULL,NULL
Universal Technical Institute of Illinois Inc,NULL,NULL,NULL,NULL
Pennsylvania College of Technology,16350,23280,NULL,NULL
Commonwealth Institute of Funeral Service,12495,12495,NULL,NULL
Delta College of Arts & Technology,NULL,NULL,NULL,NULL
InterCoast Colleges-Anaheim,NULL,NULL,NULL,NULL
Stone Child College,2645,2645,NULL,NULL
New York Academy of Art,NULL,NULL,NULL,NULL
Suffolk County Community College,5600,10470,NULL,NULL
Las Positas College,1138,7018,NULL,NULL
Blades School of Hair Design,NULL,NULL,NULL,NULL
Ogeechee Technical College,2872,5008,NULL,NULL
Remington College-Mobile Campus,15069,15069,NULL,NULL
Southern Technical College,14400,14400,NULL,NULL
Mercy-St Luke's School of Radiologic Technology,NULL,NULL,NULL,NULL
Southwest Acupuncture College-Santa Fe,NULL,NULL,NULL,NULL
Northwest Technology Center-Alva,NULL,NULL,NULL,NULL
Mercer County Career Center,NULL,NULL,NULL,NULL
California State University-San Marcos,7653,19533,0.567639579,1041
Argosy University-Hawaii,13438,13438,NULL,NULL
Baptist Theological Seminary at Richmond,NULL,NULL,NULL,NULL
Brightwood College-Modesto,NULL,NULL,NULL,NULL
Purdue University Global-Des Moines,15352,15352,NULL,NULL
Hairmasters Institute of Cosmetology,NULL,NULL,NULL,NULL
Tricoci University of Beauty Cuture LLC-Bloomington,NULL,NULL,NULL,NULL
Interactive College of Technology-Newport,9770,9770,NULL,NULL
Platt College-McCann-Monroe,11128,11128,NULL,NULL
Ross Medical Education Center-Taylor,NULL,NULL,NULL,NULL
National Tractor Trailer School Inc-Liverpool,NULL,NULL,NULL,NULL
Interactive College of Technology,9530,9530,NULL,NULL
Butler Beauty Academy-New Castle Beauty Academy,NULL,NULL,NULL,NULL
NorthWest Arkansas Community College,3238,4738,NULL,NULL
Brewster Technical College,NULL,NULL,NULL,NULL
Hodges University,13940,13940,0.57918552,NULL
Argosy University-Atlanta,13438,13438,NULL,NULL
University of St. Augustine for Health Sciences,NULL,NULL,NULL,NULL
Capital Area School of Practical Nursing,NULL,NULL,NULL,NULL
Hair Professionals Career College,NULL,NULL,NULL,NULL
Alexandria School of Scientific Therapeutics,NULL,NULL,NULL,NULL
Empire Beauty School-Bloomfield,NULL,NULL,NULL,NULL
Southwest Technology Center,NULL,NULL,NULL,NULL
Western Area Career & Technology Center,NULL,NULL,0.76,NULL
Hussian College-Daymar College Clarksville,15000,15000,NULL,NULL
Nossi College of Art,17800,17800,0.479638009,NULL
Seguin Beauty School-New Braunfels,NULL,NULL,NULL,NULL
Pima Medical Institute-Seattle,NULL,NULL,NULL,NULL
Mineral County Vocational Technical Center,NULL,NULL,NULL,NULL
Hypnosis Motivation Institute,NULL,NULL,NULL,NULL
Los Angeles ORT College-Los Angeles Campus,NULL,NULL,NULL,NULL
Thanh Le College School of Cosmetology,NULL,NULL,NULL,NULL
Southeastern Technical College,2834,4970,NULL,NULL
Massachusetts School of Law,NULL,NULL,NULL,NULL
Community Services Division-Alliance City,NULL,NULL,NULL,NULL
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,NULL,NULL,NULL,NULL
Erwin Technical College,NULL,NULL,NULL,NULL
Rosel School of Cosmetology,NULL,NULL,NULL,NULL
Worsham College of Mortuary Science,NULL,NULL,NULL,NULL
Bryan University,15400,15400,NULL,NULL
Oregon College of Oriental Medicine,NULL,NULL,NULL,NULL
Central Pennsylvania Institute of Science and Technology,NULL,NULL,NULL,NULL
Northwest Educational Center,NULL,NULL,NULL,NULL
Sebring Career Schools-Houston,NULL,NULL,NULL,NULL
PCI Health Training Center,NULL,NULL,NULL,NULL
Miami-Jacobs Career College-Columbus,11140,11140,NULL,NULL
Bryant & Stratton College-Solon,17492,17492,NULL,NULL
Hamrick School,NULL,NULL,NULL,NULL
Alabama State College of Barber Styling,NULL,NULL,NULL,NULL
Fortis College,14969,14969,NULL,NULL
Downey Adult School,NULL,NULL,NULL,NULL
CRU Institute of Cosmetology and Barbering,NULL,NULL,NULL,NULL
Modern Technology School,NULL,NULL,NULL,NULL
National Career Education,NULL,NULL,NULL,NULL
Thuy Princess Beauty College,NULL,NULL,NULL,NULL
North-West College-Glendale,NULL,NULL,0.678756477,NULL
Fremont College,NULL,NULL,NULL,NULL
Pomona Unified School District Adult and Career Education,NULL,NULL,NULL,NULL
Universal College of Beauty Inc-Los Angeles 2,NULL,NULL,NULL,NULL
IBMC College,12600,12600,NULL,NULL
Xenon International Academy-Denver,NULL,NULL,NULL,NULL
Academy of Cosmetology,NULL,NULL,NULL,NULL
Sunstate Academy,NULL,NULL,NULL,NULL
Fortis College-Smyrna,14631,14631,NULL,NULL
Remington College-Honolulu Campus,16950,16950,NULL,NULL
Vatterott College-Des Moines,11982,11982,NULL,NULL
Ross College-Quad Cities,NULL,NULL,NULL,NULL
Pivot Point Academy,NULL,NULL,NULL,NULL
Blalock's Professional Beauty College,NULL,NULL,NULL,NULL
Diesel Driving Academy-Baton Rouge,NULL,NULL,NULL,NULL
New England Hair Academy,NULL,NULL,NULL,NULL
Rob Roy Academy-Worcester,NULL,NULL,NULL,NULL
Upper Cape Cod Regional Technical School,NULL,NULL,0.689655172,NULL
All-State Career-Baltimore,NULL,NULL,NULL,NULL
Adler Graduate School,NULL,NULL,NULL,NULL
Academy of Hair Design-Jackson,NULL,NULL,NULL,NULL
KC's School of Hair Design,NULL,NULL,NULL,NULL
Lincoln Technical Institute-Moorestown,NULL,NULL,NULL,NULL
Monmouth County Vocational School District,NULL,NULL,NULL,NULL
Brightwood College-Las Vegas,NULL,NULL,NULL,NULL
Beauty School of Middletown,NULL,NULL,NULL,NULL
Bryant & Stratton College-Southtowns,17288,17288,NULL,NULL
Continental School of Beauty Culture-Olean,NULL,NULL,NULL,NULL
National Tractor Trailer School Inc-Buffalo,NULL,NULL,NULL,NULL
Yeshiva Gedolah Imrei Yosef D'spinka,8000,8000,NULL,NULL
Cleveland Institute of Dental-Medical Assistants-Mentor,NULL,NULL,NULL,NULL
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,NULL,NULL,NULL,NULL
Knox County Career Center,NULL,NULL,NULL,NULL
Madison Adult Career Center,NULL,NULL,NULL,NULL
Remington College-Cleveland Campus,14467,14467,NULL,NULL
Toledo Academy of Beauty Culture-East,NULL,NULL,NULL,NULL
U S Grant Joint Vocational School,NULL,NULL,NULL,NULL
Chisholm Trail Technology Center,NULL,NULL,NULL,NULL
Gordon Cooper Technology Center,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Atoka,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Durant,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Hugo,NULL,NULL,NULL,NULL
Kiamichi Technology Center-McAlester,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Idabel,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Poteau,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Spiro,NULL,NULL,NULL,NULL
Kiamichi Technology Centers-Talihina Campus,NULL,NULL,NULL,NULL
YTI Career Institute-Altoona,NULL,NULL,NULL,NULL
Eastern Center for Arts and Technology,NULL,NULL,0.8,NULL
Empire Beauty School-Center City Philadelphia,NULL,NULL,NULL,NULL
CEM College-Humacao,7425,7425,NULL,NULL
Colegio Mayor de Tecnologia Inc,NULL,NULL,NULL,NULL
Institucion Chaviano de Mayaguez,NULL,NULL,NULL,NULL
EDIC College,6820,6820,0.786341463,NULL
Liceo de Arte-Dise-O y Comercio,9697,9697,NULL,NULL
Universal Technology College of Puerto Rico,NULL,NULL,NULL,NULL
Academy of Hair Technology,NULL,NULL,NULL,NULL
Mr Wayne's School of Unisex Hair Design,NULL,NULL,NULL,NULL
Queen City College,NULL,NULL,NULL,NULL
College of the Marshall Islands,4885,5105,NULL,NULL
Remington College-Fort Worth Campus,15069,15069,NULL,NULL
UCAS University of Cosmetology Arts & Sciences,NULL,NULL,NULL,NULL
School of Automotive Machinists & Technology,NULL,NULL,0.884615385,NULL
SW School of Business and Technical Careers-Cosmetology,NULL,NULL,NULL,NULL
SW School of Business and Technical Careers,NULL,NULL,NULL,NULL
Texas College of Cosmetology-Abilene,NULL,NULL,NULL,NULL
Vista College-Online,NULL,NULL,NULL,NULL
Centura College-Newport News,15887,15887,NULL,NULL
Centura College-Norfolk,16337,16337,NULL,NULL
Virginia Beach City Public Schools School of Practical Nursing,NULL,NULL,NULL,NULL
Northwest College of Art & Design,19075,19075,NULL,NULL
University of Washington-Bothell Campus,10911,35475,0.500269962,1295
University of Washington-Tacoma Campus,11046,35610,0.500269962,1295
Valley College-Beckley,NULL,NULL,NULL,NULL
Valley College-Martinsburg,NULL,NULL,NULL,NULL
Valley College-Princeton,NULL,NULL,NULL,NULL
Bellus Academy-Poway,NULL,NULL,NULL,NULL
Capstone College,NULL,NULL,NULL,NULL
Central Coast College,NULL,NULL,NULL,NULL
Pacific College of Oriental Medicine-San Diego,9233,9233,NULL,NULL
Artistic Nails and Beauty Academy-Tampa,NULL,NULL,NULL,NULL
National Aviation Academy of Tampa Bay,NULL,NULL,NULL,NULL
Madison Oneida BOCES-Practical Nursing Program,NULL,NULL,0.6,NULL
Astrodome Career Centers,NULL,NULL,NULL,NULL
Center for Advanced Legal Studies,NULL,NULL,NULL,NULL
Houston Training School-Main Campus,NULL,NULL,NULL,NULL
Bay Mills Community College,3040,3040,NULL,NULL
Fond du Lac Tribal and Community College,5257,5257,NULL,NULL
Northwest Indian College,4437,4437,NULL,NULL
Provo College,13516,13516,NULL,NULL
Paul Mitchell the School-Provo,NULL,NULL,NULL,NULL
University of Phoenix-Utah,9960,9960,NULL,NULL
Cortiva Institute-Salt Lake,NULL,NULL,NULL,NULL
CET-Coachella,NULL,NULL,NULL,NULL
CET-Oxnard,NULL,NULL,NULL,NULL
CET-Santa Maria,NULL,NULL,NULL,NULL
Colorado School of Traditional Chinese Medicine,NULL,NULL,NULL,NULL
Massage Therapy Institute of Colorado,NULL,NULL,NULL,NULL
Michigan College of Beauty-Troy,NULL,NULL,NULL,NULL
Ogle School Hair Skin Nails-Dallas,NULL,NULL,NULL,NULL
Phoenix Seminary,NULL,NULL,NULL,NULL
Faust Institute of Cosmetology-Spirit Lake,NULL,NULL,NULL,NULL
Cheeks Beauty Academy,NULL,NULL,NULL,NULL
Colorado School of Healing Arts,10760,10760,NULL,NULL
Healing Arts Institute,NULL,NULL,NULL,NULL
Los Angeles ORT College-Van Nuys Campus,NULL,NULL,NULL,NULL
University of Phoenix-Puerto Rico,NULL,NULL,NULL,NULL
Mt. Diablo Adult Education-Mt. Diablo USD,NULL,NULL,NULL,NULL
Royale College of Beauty and Barbering,NULL,NULL,NULL,NULL
Greater Lowell Technical School,NULL,NULL,1,NULL
Academy of Hair Design-Pearl,NULL,NULL,NULL,NULL
King's College,14340,14340,0.866141732,NULL
Miller-Motte Technical College-Clarksville,11030,11030,NULL,NULL
Genesis Career College-Lebanon,NULL,NULL,NULL,NULL
Brightwood College-Dallas,NULL,NULL,NULL,NULL
Star College of Cosmetology 2,NULL,NULL,NULL,NULL
Southwest Collegiate Institute for the Deaf,2560,14200,NULL,NULL
Fortis College-Richmond,14359,14359,NULL,NULL
Midwest College of Oriental Medicine-Racine,NULL,NULL,NULL,NULL
Hacienda La Puente Adult Education,NULL,NULL,NULL,NULL
La Belle Beauty Academy,NULL,NULL,NULL,NULL
Hawaii Community College,3084,8220,NULL,NULL
Robert Fiance Beauty Schools-North Plainfield,NULL,NULL,NULL,NULL
Long Island Beauty School-Hauppauge,NULL,NULL,NULL,NULL
Buckeye Joint Vocational School,NULL,NULL,NULL,NULL
Sandusky Career Center,NULL,NULL,NULL,NULL
Greater Altoona Career & Technology Center,NULL,NULL,NULL,NULL
Central Texas Beauty College-Temple,NULL,NULL,NULL,NULL
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NULL,NULL,1,NULL
Empire Beauty School-Brooklyn,NULL,NULL,NULL,NULL
Houston Training School-Gulfgate,NULL,NULL,NULL,NULL
Antonelli College-Hattiesburg,15980,15980,NULL,NULL
Eastern New Mexico University Ruidoso Branch Community College,1180,4132,0.604457877,984
United Education Institute-Ontario,NULL,NULL,NULL,NULL
United Education Institute-Encino,NULL,NULL,NULL,NULL
Beacon College,37788,37788,0.528735632,NULL
Acupuncture and Integrative Medicine College-Berkeley,NULL,NULL,NULL,NULL
Estrella Mountain Community College,2094,7878,NULL,NULL
Heartland Community College,4440,12660,NULL,NULL
University of the Potomac-Washington DC Campus,13884,13884,NULL,NULL
Rabbi Jacob Joseph School,11900,11900,0.939393939,NULL
The Salon Professional Academy-Melbourne,NULL,NULL,NULL,NULL
Fortis Institute-Scranton,27246,27246,NULL,NULL
Milan Institute of Cosmetology,NULL,NULL,NULL,NULL
Everglades University,17000,17000,0.734354194,NULL
Seminar L'moros Bais Yaakov,9290,9290,0.880626223,NULL
Herzing University-Winter Park,13850,13850,0.79408284,NULL
Fairview Beauty Academy,NULL,NULL,NULL,NULL
Cortiva Institute-Pompano,NULL,NULL,NULL,NULL
National College-Nashville,14886,14886,NULL,NULL
College of Biblical Studies-Houston,6946,6946,NULL,NULL
Inner State Beauty School,NULL,NULL,NULL,NULL
Virginia College-Pensacola,NULL,NULL,NULL,NULL
Mid-EastCTC-Adult Education,NULL,NULL,NULL,NULL
Everest University-South Orlando,NULL,NULL,NULL,NULL
Polaris Career Center,NULL,NULL,NULL,NULL
P&A Scholars Beauty School,NULL,NULL,NULL,NULL
ASM Beauty World Academy,NULL,NULL,NULL,NULL
Sharps Academy of Hair Styling,NULL,NULL,NULL,NULL
The College of Health Care Professions-Northwest,NULL,NULL,NULL,NULL
School of Professional Horticulture New York Botanical Garden,7500,7500,1,NULL
Fortis College,NULL,NULL,NULL,NULL
Watkins College of Art Design & Film,23700,23700,0.421276596,1104
Alhambra Beauty College,NULL,NULL,NULL,NULL
UEI College-Gardena,NULL,NULL,NULL,NULL
Asian-American International Beauty College,NULL,NULL,NULL,NULL
Copper Mountain Community College,1112,8672,NULL,NULL
Diversified Vocational College,NULL,NULL,NULL,NULL
UEI College-Fresno,NULL,NULL,NULL,NULL
Mt Sierra College,15688,15688,0.869565217,NULL
Santiago Canyon College,1142,7982,NULL,NULL
Southern California Institute of Technology,17335,17335,0.586592179,NULL
Soka University of America,31776,31776,0.372188139,1318
Summit College,NULL,NULL,NULL,NULL
Advance Beauty College,NULL,NULL,NULL,NULL
World Mission University,5940,5940,NULL,NULL
Yo San University of Traditional Chinese Medicine,NULL,NULL,NULL,NULL
Cannella School of Hair Design-Blue Island,NULL,NULL,NULL,NULL
John Amico School of Hair Design,NULL,NULL,NULL,NULL
Delta College Inc,NULL,NULL,NULL,NULL
Southwest University of Visual Arts-Albuquerque,22588,22588,NULL,NULL
Tri-State Cosmetology Institute,NULL,NULL,NULL,NULL
Frontier Community College,3810,11734,NULL,NULL
Lincoln Trail College,3810,11734,NULL,NULL
Wabash Valley College,3810,11734,NULL,NULL
American Institute of Interior Design,NULL,NULL,NULL,NULL
Brookline College-Tempe,NULL,NULL,NULL,NULL
Inter American University of Puerto Rico-School of Optometry,NULL,NULL,NULL,NULL
Schiller International University,14360,14360,NULL,NULL
Vatterott College-Springfield,11172,11172,NULL,NULL
Vatterott College-Joplin,11736,11736,NULL,NULL
Vatterott College-Kansas City,11826,11826,NULL,NULL
Coconino Community College,3150,11025,NULL,NULL
Emma's Beauty Academy-Juana Diaz,NULL,NULL,NULL,NULL
Franklin Academy,NULL,NULL,NULL,NULL
Columbia Central University-Yauco,6480,6480,NULL,NULL
Pima Medical Institute-Denver,NULL,NULL,NULL,NULL
ASA College,12728,12728,NULL,NULL
Ohio State School of Cosmetology-Heath,NULL,NULL,NULL,NULL
Ohio State School of Cosmetology,NULL,NULL,NULL,NULL
Yeshivas Novominsk,10000,10000,0.979591837,NULL
Southern Careers Institute-Corpus Christi,NULL,NULL,NULL,NULL
Kiamichi Technology Center-Stigler,NULL,NULL,NULL,NULL
Rabbinical College of Ohr Shimon Yisroel,13600,13600,NULL,NULL
Carroll Community College,3907,7910,NULL,NULL
University of Phoenix-New Mexico,9960,9960,NULL,NULL
Galen College of Nursing-Tampa Bay,NULL,NULL,NULL,NULL
Galen College of Nursing-San Antonio,NULL,NULL,NULL,NULL
Sarasota School of Massage Therapy,NULL,NULL,NULL,NULL
Schuyler Steuben Chemung Tioga Allegany BOCES,NULL,NULL,NULL,NULL
DCI Career Institute,NULL,NULL,NULL,NULL
Central Susquehanna Intermediate Unit LPN Career,NULL,NULL,0.973333333,NULL
Myotherapy College of Utah,NULL,NULL,NULL,NULL
Graham Webb International Academy of Hair,NULL,NULL,NULL,NULL
City College-Gainesville,13695,13695,NULL,NULL
Arizona State University-West,10301,26038,0.778069173,1219
Cortiva Institute-Westport,NULL,NULL,NULL,NULL
G Skin & Beauty Institute,NULL,NULL,NULL,NULL
Cosmetology Training Center,NULL,NULL,NULL,NULL
Stage One-The Hair School,NULL,NULL,NULL,NULL
Empire Beauty School-Malden,NULL,NULL,NULL,NULL
Omaha School of Massage and Healthcare of Herzing University,13850,13850,0.79408284,NULL
Xenon International Academy-Omaha,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Brick,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Kenilworth,NULL,NULL,NULL,NULL
Capri Institute of Hair Design-Paramus,NULL,NULL,NULL,NULL
Orlo School of Hair Design and Cosmetology,NULL,NULL,NULL,NULL
Eastland-Fairfield Career and Technical Schools,NULL,NULL,NULL,NULL
Empire Beauty School-Cincinnati,NULL,NULL,NULL,NULL
Mahoning County Career and Technical Center,NULL,NULL,NULL,NULL
Pickaway Ross Joint Vocational School District,NULL,NULL,NULL,NULL
Pioneer Career and Technology Center,NULL,NULL,NULL,NULL
Raphael's School of Beauty Culture Inc-Boardman,NULL,NULL,NULL,NULL
Scioto County Career Technical Center,NULL,NULL,NULL,NULL
Trumbull Career & Technical Center,NULL,NULL,NULL,NULL
Northwest Technology Center-Fairview,NULL,NULL,NULL,NULL
Pacific Bible College,3650,3650,NULL,NULL
Lake Erie College of Osteopathic Medicine,NULL,NULL,NULL,NULL
UCAS University of Cosmetology Arts & Sciences-Harlingen,NULL,NULL,NULL,NULL
Gene Juarez Academy of Beauty-Federal Way,NULL,NULL,NULL,NULL
Empire Beauty School-Green Bay,NULL,NULL,NULL,NULL
Warren County Career Center,NULL,NULL,NULL,NULL
Paul Mitchell the School-Wichita,NULL,NULL,NULL,NULL
Pinnacle Institute of Cosmetology,NULL,NULL,NULL,NULL
Southern Careers Institute-Pharr,NULL,NULL,NULL,NULL
Laurel Technical Institute,9914,9914,0.834285714,NULL
Florida National University-Main Campus,13250,13250,NULL,NULL
Georgia Institute of Cosmetology,NULL,NULL,NULL,NULL
Nouvelle Institute,NULL,NULL,NULL,NULL
Franklin Technology-MSSU,NULL,NULL,NULL,NULL
Professional Technical Institution Inc,NULL,NULL,NULL,NULL
Erikson Institute,NULL,NULL,NULL,NULL
South Texas College,3720,7620,NULL,NULL
Lorain County Joint Vocational School District,NULL,NULL,NULL,NULL
Roger Williams University School of Law,NULL,NULL,0.822911193,NULL
California State University-Monterey Bay,7043,18923,0.532031727,1068
Bryant & Stratton College-Henrietta,16855,16855,NULL,NULL
Argosy University-The Art Institute of California-Hollywood,18742,18742,NULL,NULL
Ohio Media School-Valley View,NULL,NULL,0.852941176,NULL
EINE Inc,NULL,NULL,NULL,NULL
Marian Health Careers Center-Los Angeles Campus,NULL,NULL,NULL,NULL
Cleveland Clinic Health System-School of Diagnostic Imaging,NULL,NULL,NULL,NULL
Academy for Nursing and Health Occupations,NULL,NULL,NULL,NULL
Shawsheen Valley School of Practical Nursing,NULL,NULL,NULL,NULL
Shear Ego International School of Hair Design,NULL,NULL,NULL,NULL
Remington College-Memphis Campus,16694,16694,NULL,NULL
Fayette Institute of Technology,NULL,NULL,NULL,NULL
Professional Beauty School,NULL,NULL,NULL,NULL
Capella University,14250,14250,NULL,NULL
College of Menominee Nation,6200,6200,NULL,NULL
Leech Lake Tribal College,4198,4198,NULL,NULL
Spartan College of Aeronautics & Technology,NULL,NULL,NULL,NULL
Stone Academy-Waterbury,NULL,NULL,NULL,NULL
East San Gabriel Valley Regional Occupational Program,NULL,NULL,NULL,NULL
Yukon Beauty College Inc,NULL,NULL,NULL,NULL
United Education Institute-Morrow,NULL,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Atlanta,NULL,NULL,NULL,NULL
Mitchell's Hair Styling Academy-Raleigh,NULL,NULL,NULL,NULL
Artistic Academy of Hair Design,NULL,NULL,NULL,NULL
Motoring Technical Training Institute,NULL,NULL,0.896788991,NULL
Mech-Tech College,9042,9042,NULL,NULL
Baldwin Beauty School-North Austin,NULL,NULL,NULL,NULL
Jean Madeline Aveda Institute,NULL,NULL,NULL,NULL
Pacific College of Oriental Medicine-New York,11592,11592,NULL,NULL
Johnson & Wales University-North Miami,31508,31508,0.846694262,NULL
Tricoci University of Beauty Culture-Indianapolis,NULL,NULL,NULL,NULL
Trine University-Regional/Non-Traditional Campuses,10832,10832,0.701027984,1128
Pennsylvania Highlands Community College,5670,11310,NULL,NULL
Nevada Career Institute,NULL,NULL,NULL,NULL
Phillips Theological Seminary,NULL,NULL,NULL,NULL
Empire Beauty School-Hanover,NULL,NULL,NULL,NULL
Industrial Management Training Institute,NULL,NULL,NULL,NULL
Faris Technical Institute Inc,NULL,NULL,NULL,NULL
Allen School-Jamaica,NULL,NULL,NULL,NULL
Premiere Career College,NULL,NULL,NULL,NULL
Tennessee Academy of Cosmetology-Stage Road,NULL,NULL,NULL,NULL
The University of Texas MD Anderson Cancer Center,NULL,NULL,NULL,NULL
Paul Mitchell the School-Huntsville,NULL,NULL,NULL,NULL
Estes Institute of Cosmetology Arts and Science,NULL,NULL,NULL,NULL
Baldwin Park Adult & Community Education,NULL,NULL,NULL,NULL
Ventura Adult and Continuing Education,NULL,NULL,NULL,NULL
Howell Cheney THS/CT Aero Tech School,NULL,NULL,NULL,NULL
College of Business and Technology-Miami Campus,13052,13052,NULL,NULL
City College-Altamonte Springs,13695,13695,NULL,NULL
Empire Beauty School-Dunwoody,NULL,NULL,NULL,NULL
Cobb Beauty College Inc,NULL,NULL,NULL,NULL
Career Center of Southern Illinois,NULL,NULL,NULL,NULL
Crave Beauty Academy,NULL,NULL,NULL,NULL
Camelot College,NULL,NULL,NULL,NULL
Hastings Beauty School,NULL,NULL,NULL,NULL
Kirksville Area Technical Center,NULL,NULL,0.727272727,NULL
South Central Career Center,NULL,NULL,NULL,NULL
Saline County Career Center,NULL,NULL,0.833333333,NULL
Warrensburg Area Career Center,NULL,NULL,0.80952381,NULL
Nevada Regional Technical Center,NULL,NULL,0.666666667,NULL
Cass Career Center,NULL,NULL,1,NULL
Applied Technology Services,NULL,NULL,0.265625,NULL
Central College of Cosmetology,NULL,NULL,NULL,NULL
Southeast Missouri Hospital College of Nursing and Health Sciences,17580,17580,0.764705882,1105
Messenger College,9120,9120,0.785714286,NULL
Tennessee Academy of Cosmetology-Shelby Drive,NULL,NULL,NULL,NULL
Durham Beauty Academy,NULL,NULL,NULL,NULL
Union County Vocational Technical School,NULL,NULL,NULL,NULL
Prism Career Institute-Philadelphia,NULL,NULL,NULL,NULL
Clinton Essex Warren Washington BOCES,NULL,NULL,0.327683616,NULL
Jefferson Lewis BOCES-Practical Nursing Program,11792,11792,0.88,NULL
Veeb Nassau County School of Practical Nursing,16725,16725,0.8,NULL
Cattaraugus Allegany BOCES-Practical Nursing Program,NULL,NULL,NULL,NULL
Orange Ulster BOCES-Practical Nursing Program,NULL,NULL,1,NULL
Wayne Finger Lakes BOCES-Practical Nursing Program,NULL,NULL,NULL,NULL
Broome Delaware Tioga BOCES-Practical Nursing Program,NULL,NULL,0.571428571,NULL
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,NULL,NULL,1,NULL
Albany BOCES-Adult Practical Nursing Program,NULL,NULL,NULL,NULL
Ulster BOCES School of Practical Nursing,NULL,NULL,0.464285714,NULL
Eastern Suffolk BOCES,NULL,NULL,0.840425532,NULL
Rockland County BOCES-Practical Nursing Program,NULL,NULL,NULL,NULL
New York College of Health Professions,14226,14226,NULL,NULL
Charles Stuart School of Diamond Setting,NULL,NULL,NULL,NULL
Penta County Joint Vocational School,NULL,NULL,NULL,NULL
Career and Technology Education Centers of Licking County,NULL,NULL,NULL,NULL
Northern Career Institute,12620,12620,NULL,NULL
Washington County Career Center-Adult Technical Training,NULL,NULL,NULL,NULL
Ohio Media School-Cincinnati,NULL,NULL,0.625,NULL
Ohio Technical Center at Vantage Career Center,NULL,NULL,NULL,NULL
Indian Capital Technology Center-Muskogee,NULL,NULL,NULL,NULL
Western Technology Center,NULL,NULL,NULL,NULL
Mid-America Technology Center,NULL,NULL,NULL,NULL
Northeast Technology Center-Pryor,NULL,NULL,NULL,NULL
Eastern Oklahoma County Technology Center,NULL,NULL,NULL,NULL
Wes Watkins Technology Center,NULL,NULL,NULL,NULL
York County School of Technology-Adult & Continuing Education,NULL,NULL,NULL,NULL
Chester County Intermediate Unit,NULL,NULL,0.553191489,NULL
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,NULL,NULL,0.789473684,NULL
Greater Johnstown Career and Technology Center,NULL,NULL,NULL,NULL
Mifflin County Academy of Science and Technology,NULL,NULL,0.766666667,NULL
Lenape Technical School Practical Nursing Program,NULL,NULL,NULL,NULL
Venango County Area Vocational Technical School,NULL,NULL,0.625,NULL
